tokens,pred_labels,aligned_tokens
7,O,7
.,O,.
Scores,O,Scores
on,O,on
the,O,the
total,O,total
scale,O,scale
of,O,of
SF‐MPQ,O,SF‐MPQ
for,O,for
the,O,the
ketamine,O,ketamine
group,O,group
were,O,were
smaller,O,smaller
compared,O,compared
with,O,with
the,O,the
placebo,O,placebo
group,O,group
(,O,(
P,O,P
¼,O,¼
0.034,O,0.034
),O,)
.,O,". 
    "
CONCLUSION,O,CONCLUSION
Although,O,Although
there,O,there
was,O,was
no,O,no
significant,O,significant
difference,O,difference
between,O,between
ketamine,O,ketamine
and,O,and
placebo,O,placebo
for,O,for
the,O,the
primary,O,primary
outcome,O,outcome
measure,O,measure
",",O,","
patients,O,patients
who,O,who
received,O,received
ketamine,O,ketamine
experienced,O,experienced
statistically,O,statistically
and,O,and
clinically,O,clinically
significant,O,significant
improvement,O,improvement
in,O,in
their,O,their
comprehensive,O,comprehensive
evaluation,O,evaluation
of,O,of
pain,O,pain
",",O,","
particularly,O,particularly
the,O,the
affective,O,affective
component,O,component
of,O,of
pain,O,pain
",",O,","
on,O,on
POD,O,POD
2,O,2
.,O,.
However,O,However
",",O,","
future,O,future
studies,O,studies
are,O,are
needed,O,needed
to,O,to
confirm,O,confirm
the,O,the
enduring,O,enduring
effects,O,effects
of,O,of
ketamine,O,ketamine
on,O,on
the,O,the
affective,O,affective
response,O,response
to,O,to
postoperative,O,postoperative
pain,O,pain
.,O,.
