tokens,pred_labels,aligned_tokens
induced,O,
unresponsiveness,O,unresponsiveness
(,O,(
deep,O,deep
sedation,O,sedation
[,O,[
S2,O,S2
],O,]
),O,)
.,O,.
RESULTS,O,RESULTS
:,O,:
Increasing,O,Increasing
the,O,the
depth,O,depth
of,O,of
ketamine,B-Application Area,ketamine
sedation,O,sedation
from,O,from
W1,O,W1
to,O,to
S2,O,S2
altered,O,altered
DMn,O,DMn
and,O,and
SALn,O,SALn
connectivity,O,connectivity
and,O,and
suppressed,O,suppressed
the,O,the
anticorrelated,O,anticorrelated
activity,O,activity
between,O,between
DMn,O,DMn
and,O,and
other,O,other
brain,O,brain
regions,O,regions
.,O,.
During,O,During
S2,O,S2
",",O,","
DMn,O,DMn
connectivity,O,connectivity
",",O,","
particularly,O,particularly
between,O,between
the,O,the
medial,O,medial
prefrontal,O,prefrontal
cortex,O,cortex
and,O,and
the,O,the
remaining,O,remaining
network,O,network
(,O,(
effect,O,effect
size,O,size
β,O,β
[,O,[
95,O,95
%,O,%
CI,O,CI
],O,]
:,O,:
W1,O,W1
=,O,=
0.20,O,0.20
[,O,[
0.18,O,0.18
to,O,to
0.22,O,0.22
],O,]
;,O,;
S2,O,S2
=,O,=
0.07,O,0.07
[,O,[
0.04,O,0.04
to,O,to
0.09,O,0.09
],O,]
),O,)
",",O,","
and,O,and
DMn,O,DMn
anticorrelated,O,anticorrelated
activity,O,activity
(,O,(
e.g.,O,e.g.
",",O,","
right,O,right
sensory,O,sensory
cortex,O,cortex
:,O,:
W1,O,W1
=,O,=
-0.07,O,-0.07
[,O,[
-0.09,O,-0.09
to,O,to
-0.04,O,-0.04
],O,]
;,O,;
S2,O,S2
=,O,=
0.04,O,0.04
[,O,[
0.01,O,0.01
to,O,to
0.06,O,0.06
],O,]
),O,)
were,O,were
broken,O,broken
down,O,down
.,O,.
SALn,O,SALn
connectivity,O,connectivity
was,O,was
nonuniformly,O,nonuniformly
suppressed,O,suppressed
(,O,(
e.g.,O,e.g.
",",O,","
left,O,left
parietal,O,parietal
operculum,O,operculum
:,O,:
W1,O,W1
=,O,=
0.08,O,0.08
[,O,[
0.06,O,0.06
to,O,to
0.09,O,0.09
],O,]
;,O,;
S2,O,S2
=,O,=
0.05,O,0.05
[,O,[
0.02,O,0.02
to,O,to
0.07,O,0.07
],O,]
),O,)
.,O,.
Executive,O,Executive
control,O,control
networks,O,networks
",",O,","
auditory,O,auditory
network,O,network
",",O,","
SMn,O,SMn
",",O,","
and,O,and
visual,O,visual
network,O,network
were,O,were
minimally,O,minimally
affected,O,affected
.,O,.
CONCLUSIONS,O,CONCLUSIONS
:,O,:
Ketamine,B-Application Area,Ketamine
induces,O,induces
specific,O,specific
changes,O,changes
in,O,in
connectivity,O,connectivity
within,O,within
and,O,and
between,O,between
RSNs,O,RSNs
.,O,.
Breakdown,O,Breakdown
of,O,of
frontoparietal,O,frontoparietal
DMn,O,DMn
connectivity,O,connectivity
and,O,and
DMn,O,DMn
anticorrelation,O,anticorrelation
and,O,and
sensory,O,sensory
and,O,and
SMn,O,SMn
connectivity,O,connectivity
preservation,O,preservation
are,O,are
common,O,common
to,O,to
ketamine,B-Application Area,ketamine
and,O,and
propofol,O,propofol
-,O,-
induced,O,induced
alterations,O,alterations
of,O,of
consciousness,O,consciousness
.,O,.
